Вид фінансових зобовʼязань,Дата виникнення,Сума (вартість) зобовʼязання на момент виникнення,Дата припинення,Сума (вартість) зобовʼязання на момент припинення,ПІБ (для фіз. осіб)/Назва (для юр. осіб),Ідентифікаційний код (для фіз. осіб)/Код ЄДРПОУ (для юр. осіб),Місце проживання (для фіз. осіб)/Юридична адреса (для юр. осіб),"Сума (вартість) на кінець звітного періоду, грн",Тип особи,Партія,Місцева організація,Код ЄДРПОУ осередку,Географічний об'єкт,Квартал,Рік
Грошова застава,2020-09-24,212094.0,2020-09-24 00:00:00,0,Черкаська обласна ТВК ,43773845.0,"18001, м. Черкаси, бул. Шевченка, 185",212094.0,юридична особа,Об’єднання «САМОПОМІЧ»,Черкаська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39219693,Черкаська область,4,2020
Грошова застава,2020-09-24,106219.0,2020-09-24 00:00:00,0,Черкаська районна ТВК ,43777069.0,"18003, м. Черкаси, вул. В’ячеслава Чорновола, 157",106219.0,юридична особа,Об’єднання «САМОПОМІЧ»,Черкаська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39219693,Черкаська область,4,2020
Грошова застава,2020-09-24,47214.0,2020-09-24 00:00:00,0,Черкаська міська ТВК Черк.р-ну ,43777179.0,"18000, м. Черкаси, вул. Байди Вишневецького, 36",47214.0,юридична особа,Об’єднання «САМОПОМІЧ»,Черкаська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39219693,Черкаська область,4,2020
Місцеві вибори,2020-10-05,29240.36,2020-10-22 00:00:00,0,Черкаська обласна організація політичної партії «Об'єднання «САМОПОМІЧ» ,39219693.0,"18007, Черкаська область, м. Черкаси, вул. Богдана Хмельницького, буд. 52",29240.36,юридична особа,Об’єднання «САМОПОМІЧ»,Черкаська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39219693,Черкаська область,4,2020
Адміністративний збір,2020-04-09,630.0,2020-04-09 00:00:00,0,УПРАВЛІННЯ ДЕРЖАВНОЇ КАЗНАЧЕЙСЬКОЇ СЛУЖБИ УКРАЇНИ У М. ЧЕРНІВЦЯХ ЧЕРНІВЕЦЬКОЇ ОБЛАСТІ											,37978173.0,"58000, Чернівецька обл., місто Чернівці, Першотравневий район, ВУЛИЦЯ ОЛЬГИ КОБИЛЯНСЬКОЇ, будинок 11",630.0,юридична особа,Об’єднання «САМОПОМІЧ»,Чернівецька міська організація Політичної партії «Об’єднання «САМОПОМІЧ»,39914787,Чернівецька область,4,2020
Комісія банку,2020-04-01,202.0,2020-05-06 00:00:00,0,"ПАТ КБ ""Приватбанк""											",14360570.0,"01001, м.Київ, ВУЛИЦЯ ГРУШЕВСЬКОГО, будинок 1Д",202.0,юридична особа,Об’єднання «САМОПОМІЧ»,Чернівецька міська організація Політичної партії «Об’єднання «САМОПОМІЧ»,39914787,Чернівецька область,4,2020
Комісія банку,2020-09-18,268.0,2020-12-01 00:00:00,0,"АТ КБ ""Приватбанк""",14360570.0," Україна, 01001, мисто Киів, ВУЛИЦЯ ГРУШЕВСЬКОГО, будинок 1Д",268.0,юридична особа,Об’єднання «САМОПОМІЧ»,Чернігівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39947849,Чернігівська область,4,2020
Грошова застава,2020-09-18,17033.0,2020-09-22 00:00:00,0,НІЖИНСЬКА МІСЬКА ТЕРИТОРІАЛЬНА ВИБОРЧА КОМІСІЯ НІЖИНСЬКОГО РАЙОНУ ЧЕРНІГІВСЬКОЇ ОБЛАСТІ,43760521.0,"Україна, 16600, Чернігівська обл., місто Ніжин, вул.Батюка, будинок 16",17033.0,юридична особа,Об’єднання «САМОПОМІЧ»,Чернігівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39947849,Чернігівська область,4,2020
Соцмережі,2020-11-11,11900.0,2020-11-11 00:00:00,0,ПРИВАТНЕ ПІДПРИЄМСТВО АБП-СЕРВІС,36697746.0,"16600, Чернігівська обл., місто Ніжин, ВУЛИЦЯ РЕЗНІЧЕНКА, будинок 54",11900.0,юридична особа,Об’єднання «САМОПОМІЧ»,Чернігівська обласна організація Політичної партії «Об’єднання «САМОПОМІЧ»,39947849,Чернігівська область,4,2020
оренда приміщення,2019-09-01,4120.39,1911-04-12 09:21:36,"4120,39							",Територіальна громада м. Шостка в особі Виконавчого комітету Шосткинської міської ради											,4057994.0,"41100, Сумська обл., місто Шостка, вул. Садовий бульвар, буд. 14",0.0,юридична особа,Об’єднання «САМОПОМІЧ»,Шосткинська міська організація Політичної партії «Об’єднання «САМОПОМІЧ»,39959461,Сумська область,4,2020
